Pays,Nom,Ville / region,Type_fichier,Genres/Categorie,Contact,Telephone,Source URL,Styles_Nyllo,Segment_booking,Niveau_ciblage,Raison_ciblage,Action_recommandee,Statut,Notes
Pays-Bas,Festival Mundial,Tilburg,festival,World music / food / global cultures / world-music,contact@mundial-korvel.nl,contact via formulaire,https://mundialindewijk.nl/faq/,world-music,festival world music / global sounds,B compatible,world/global/afro-caribbean,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,verifie email,Festival world historique Tilburg; contact direct a completer | Passe meticuleuse 13/08/2026 : Festival Mundial historique remplace/localise par Mundial in de Wijk/Korvel; email officiel public.
Pays-Bas,Rotterdam Unlimited / Zomercarnaval,Rotterdam,festival,Caribbean carnival / world / dance / percussion / afro-world,info@rotterdamcarnivalevents.com,,https://www.rotterdamcarnivalevents.com/,percussions | bresil | world-music | afro-house | house-music,festival afro house / house music,A+ tres prioritaire,percussions/rythmes; bresil/latin/caribbean; world/global/afro-caribbean; afro house/amapiano/afro; house/electro/club,Contacter en premier avec angle A SELVA: afro/world/percussions ou Bresil + dancefloor.,verifie email,Grand carnaval caribeen; WhatsApp public
Pays-Bas,Summer Dance Forever,Amsterdam,festival,Afro beats / house dance / hip-hop / club nights / afro-urban,info@summerdanceforever.com,a completer,https://www.summerdanceforever.com/festival,afro-house | house-music,festival afro house / house music,A prioritaire,afro house/amapiano/afro; house/electro/club,Contacter avec proposition Nyllo adaptee au style dominant.,verifie email,"Festival danse avec Afro Beats & Vibes, House Dance Forever et clubbing | Enrichi 13/08/2026 : Email officiel festival."
Pays-Bas,Milkshake Festival,Amsterdam,festival,Electronic / house / disco / pop / techno / R&B / dancehall / electro-house,milk@milkshakefestival.nl,,https://www.milkshakefestival.com/about,world-music | house-music,festival world music / global sounds,A prioritaire,world/global/afro-caribbean; house/electro/club,Contacter avec proposition Nyllo adaptee au style dominant.,verifie email,Festival open-minded dance; email public Facebook
Pays-Bas,By the Creek Festival,Vianen / Utrecht,festival,House / techno / electronic / electro-house,info@bythecreekfestival.com,,https://www.bythecreekfestival.com/,house-music,festival house music / electronique,B compatible,house/electro/club,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,verifie email,House/techno festival; contact public Facebook
Pays-Bas,Pleinvrees Festival,Amsterdam,festival,Deep house / melodic / electronic / electro-house,info@apenkooi.com,,https://apenkooi.amsterdam/pleinvrees/,house-music,festival house music / electronique,B compatible,house/electro/club,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,verifie email,Pleinvrees via Apenkooi Events; contact organisateur
Pays-Bas,A Hora do Brasil / Brazilian Summer Sessions,Amsterdam,festival,Brazilian music / culture / festival / world-music,ancienne fondation inactive - contacter BIMHUIS booking@bimhuis.nl pour piste Brazilian Summer Sessions,+31 20 788 2150,https://dutchculture.nl/en/location/hora-do-brasil-foundation,bresil | world-music,festival world percussions / bresil,A prioritaire,bresil/latin/caribbean; world/global/afro-caribbean,Contacter avec proposition Nyllo adaptee au style dominant.,hors cible / archive,"Organisation/festival bresilien; contact direct a completer | Enrichi 13/08/2026 : Piste pertinente Bresil ; mail direct non repere. | Passe meticuleuse 13/08/2026 : Doublon de la fondation inactive; garder comme historique, utiliser BIMHUIS pour booking bresilien."
Pays-Bas,Roda de Samba / BIMHUIS,Amsterdam,festival,Brazilian samba / roda / afterparty cafe / world-music,booking@bimhuis.nl / verhuur@bimhuis.nl,+31 20 788 2150,https://www.bimhuis.nl/en/calendar/roda-de-samba,percussions | bresil | world-music,festival world percussions / bresil,A+ tres prioritaire,percussions/rythmes; bresil/latin/caribbean; world/global/afro-caribbean,Contacter en premier avec angle A SELVA: afro/world/percussions ou Bresil + dancefloor.,verifie email,Roda de Samba avec afterparty au cafe; bon angle Bresil/percussions | Enrichi 13/08/2026 : Emails booking/location publics BIMHUIS.
Pays-Bas,Amsterdam - Gemeente Amsterdam,Amsterdam,commune / programmation culture,Commune - contact general / evenements publics,formulaire evenement officiel / standard ville,14 020 / +31 20 624 1111,https://www.amsterdam.nl/en/business/event-permit/,world-music | afro-house | house-music,commune programmation culture / espaces publics,A prioritaire,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Passer par formulaire en demandant le service culture/evenements ou programmation espace public.,contact public verifie,"Ville prioritaire Nyllo: ADE, Roots, Kwaku, rooftops, clubs et scene afro/world. | Enrichi 13/08/2026 : Contact public municipal ; pas de mail programmation direct. | Passe meticuleuse 13/08/2026 : Page officielle event permit: contact telephone et lien autres moyens de contact."
Pays-Bas,Amsterdam - I amsterdam / Amsterdam & Partners,Amsterdam,commune / programmation culture,Partenaire ville - agenda culturel / partenariats,partner@iamsterdam.com / webcare@iamsterdam.com,,https://www.iamsterdam.com/en/amsterdam-and-partners/contact-us,world-music | afro-house | house-music,agenda culturel / partenariats ville,A prioritaire,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Envoyer proposition evenement/partenariat ou demander le bon contact agenda culturel.,a contacter,Utile pour visibilite et relais agenda culturel Amsterdam.
Pays-Bas,Rotterdam - Gemeente Rotterdam,Rotterdam,commune / programmation culture,Commune - contact general,info@rotterdam.nl,14 010 / +31 10 267 1625,https://rotterdammakeithappen.nl/en/brandpartners/municipality-of-rotterdam/,world-music | afro-house | house-music,commune programmation culture / espaces publics,A prioritaire,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel","Demander orientation vers culture, evenementen ou programmation espaces publics.",a contacter,"Ville forte afro/world: Rotterdam Unlimited, Grounds, Maassilo, Toffler."
Pays-Bas,Rotterdam - Rotterdam Festivals,Rotterdam,commune / programmation culture,Partenaire culturel ville / festivals,info@rotterdamfestivals.nl / publieksbereik@rotterdamfestivals.nl / onderzoek@rotterdamfestivals.nl,+31 10 433 2511,https://www.cultureledoelgroepenmodel.nl/en/contact/,world-music | afro-house | house-music,reseau festivals / audience culturelle,A prioritaire,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Contacter pour orientation programmation/festivals et public afro/world/electro.,a contacter,Contact culturel plus pertinent que le general commune pour booking.
Pays-Bas,Den Haag - Gemeente Den Haag,Den Haag,commune / programmation culture,Commune - contact general,evenementenbureau@denhaag.nl / vergunning@denhaag.nl,070 353 23 57 / 14070,https://www.denhaag.nl/en/permits-and-exemptions/report-an-event/,world-music | bresil | percussions,commune programmation culture / espaces publics,B compatible,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Passer par formulaire et demander service cultuur/evenementen.,verifie email,"Ville pertinente: PAARD, Amare, culture internationale. | Enrichi 13/08/2026 : Contact public municipal. | Passe meticuleuse 13/08/2026 : Page officielle evenement: evenementbureau pour calendrier reservation, vergunning pour questions permis."
Pays-Bas,Utrecht - Gemeente Utrecht,Utrecht,commune / programmation culture,Commune - contact general,Gemeente@utrecht.nl / formulaire officiel,14 030 / +31 30 286 0000 / WhatsApp 06 24927665,https://organisaties.overheid.nl/38122/Gemeente_Utrecht,world-music | house-music,commune programmation culture / espaces publics,B compatible,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Demander le contact culture/evenementen ou evenementenkalender.,contact public verifie,"Ville utile: Le Guess Who?, TivoliVredenburg, EKKO, De Helling. | Passe 2 13/08/2026 : Email public Overheid.nl + contacts officiels Utrecht."
Pays-Bas,Eindhoven - Gemeente Eindhoven - events cluster,Eindhoven,commune / programmation culture,Commune - evenements / autorisations,evenementen@eindhoven.nl,14 040 / +31 40 238 6000,https://www.eindhoven247.nl/en/services/apply-for-an-event-permit,percussions | bresil | house-music,commune events / autorisations,A prioritaire,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Demander le bon relais programmation culture/evenements et possibilites showcase.,a contacter,Contact evenementiel direct trouve; ville Effenaar/TROMP.
Pays-Bas,Eindhoven - Stichting Cultuur Eindhoven,Eindhoven,commune / programmation culture,Organisme culture ville,info@cultuureindhoven.nl,,https://cultuureindhoven.nl/english/,percussions | bresil | world-music,culture funding / reseau local,A prioritaire,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Demander orientation reseau culturel et evenements musicaux.,a contacter,Fondation responsable culture; bon relais local.
Pays-Bas,Tilburg - Gemeente Tilburg,Tilburg,commune / programmation culture,Commune - contact general / events,inwoners@tilburg.nl,14 013 / +31 13 542 8494 / WhatsApp +31 6 1114 8170,https://www.tilburg.nl/gemeente/actueel/infopunt-midden-brabant/tilburg-municipality/,world-music | bresil | house-music,commune programmation culture / espaces publics,B compatible,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Demander service evenementen/cultuur; utiliser email general si pas de contact culture direct.,a contacter,Ville 013/Festival Mundial; bonne cible world/electro.
Pays-Bas,Tilburg - Gemeente Tilburg - evenementensubsidie,Tilburg,commune / programmation culture,Commune - subventions evenements,evenementensubsidie@tilburg.nl,14 013,https://www.tilburg.nl/ondernemers/evenementen/evenementen-hulpmiddelen/,world-music | bresil | house-music,subvention evenement / programmation locale,B compatible,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel","Contacter seulement pour piste evenement/subvention locale, pas booking direct.",a contacter,Contact specifique evenements/subventions.
Pays-Bas,Groningen - Gemeente Groningen,Groningen,commune / programmation culture,Commune - contact general,info@groningen.nl,14 050 / +31 50 367 7000,https://european-social-fund-plus.ec.europa.eu/en/social-innovation-match/partner/municipality-groningen,world-music | house-music,commune programmation culture / espaces publics,B compatible,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Demander orientation service cultuur/evenementen.,a contacter,"Ville culturelle nord, Simplon/Eurosonic/Dance Festival."
Pays-Bas,Nijmegen - Gemeente Nijmegen,Nijmegen,commune / programmation culture,Commune - contact general,gemeente@nijmegen.nl,14 024,https://organisaties.overheid.nl/33391/Gemeente_Nijmegen,world-music | house-music,commune programmation culture / espaces publics,B compatible,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Demander service cultuur/evenementen ou agenda culturel.,a contacter,Ville Doornroosje/Kunstnacht; scene culturelle active.
Pays-Bas,Maastricht - Gemeente Maastricht,Maastricht,commune / programmation culture,Commune - contact general,post@maastricht.nl,14 043 / +31 43 350 4040,https://www.visitmaastricht.com/en/locations/1219962090/municipality-of-maastricht,world-music,commune programmation culture / espaces publics,C hors cible / faible,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Passer par site/contact municipal et demander programmation culturelle.,verifie email,Mail direct non trouve; ville culturelle mais moins prioritaire pour afro house. | Enrichi 13/08/2026 : Email public municipal.
Pays-Bas,Haarlem - Gemeente Haarlem,Haarlem,commune / programmation culture,Commune - contact general,evenementcoordinator@haarlem.nl / antwoord@haarlem.nl,14 023 / +31 23 511 5115,https://haarlem.nl/evenementenvergunning,world-music | house-music,commune programmation culture / espaces publics,C hors cible / faible,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Utiliser contact gemeente; demander service cultuur/evenementen.,verifie email,Mail direct non trouve; ville utile avec Patronaat et culture. | Enrichi 13/08/2026 : Email trouve non pertinent facturation ; garder contact municipal. | Passe meticuleuse 13/08/2026 : Page officielle evenement: evenementcoordinator@haarlem.nl; Overheid.nl confirme antwoord@haarlem.nl.
Pays-Bas,Leiden - Gemeente Leiden - evenementen,Leiden,commune / programmation culture,Commune - bureau evenements,evenementen@leiden.nl,14 071 / +31 6 40912299,https://evenementenloketleiden.nl/organiseren/,world-music | house-music,commune events / autorisations,A prioritaire,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel","Contacter bureau Evenementen pour date, lieu et orientation programmation.",a contacter,Contact evenementiel direct et telephone evenement.
Pays-Bas,Delft - Gemeente Delft,Delft,commune / programmation culture,Commune - contact general,contact via formulaire officiel / WhatsApp +31 6 52739476,14015 / WhatsApp +31 6 52739476,https://www.delft.nl/en/make-or-cancel-appointment,world-music | house-music,commune programmation culture / espaces publics,C hors cible / faible,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Passer par formulaire; demander culture/evenementen.,contact public verifie,Mail direct non trouve; WhatsApp public. | Enrichi 13/08/2026 : Telephone/WhatsApp officiel deja present. | Passe 2 13/08/2026 : Contact officiel public.
Pays-Bas,Breda - Gemeente Breda,Breda,commune / programmation culture,Commune - contact general / events,contact via formulaire evenement organiser,+31 76 529 3001,https://www.breda.nl/evenement-organiseren,world-music | house-music,commune programmation culture / espaces publics,C hors cible / faible,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Passer par contact site; demander service evenementen/cultuur.,contact public verifie,Mail direct non trouve; utiliser formulaire officiel. | Enrichi 13/08/2026 : Page officielle evenement organiser + telephone. | Passe 2 13/08/2026 : Contact officiel evenement organiser.
Pays-Bas,Arnhem - Gemeente Arnhem,Arnhem,commune / programmation culture,Commune - contact general,contact via formulaire officiel,0800 1809,https://www.arnhem.nl/,world-music | house-music,commune programmation culture / espaces publics,C hors cible / faible,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Passer par formulaire; demander service cultuur/evenementen.,contact public verifie,Mail direct non trouve; ville creative. | Enrichi 13/08/2026 : Telephone officiel. | Passe 2 13/08/2026 : Contact officiel public.
Pays-Bas,Almere - Gemeente Almere,Almere,commune / programmation culture,Commune - contact general,contact via formulaire officiel,14 036 / +31 36 539 9911,https://english.almere.nl/contact,world-music | house-music,commune programmation culture / espaces publics,C hors cible / faible,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Passer par formulaire; demander service culture/evenements.,contact public verifie,Mail direct non trouve; ville grande et proche Amsterdam. | Enrichi 13/08/2026 : Telephone officiel. | Passe 2 13/08/2026 : Contact officiel public.
Pays-Bas,Zwolle - Gemeente Zwolle,Zwolle,commune / programmation culture,Commune - contact general,postbus@zwolle.nl,14 038 / +31 38 498 3138,https://organisaties.overheid.nl/33731/Gemeente_Zwolle,world-music,commune programmation culture / espaces publics,C hors cible / faible,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Envoyer court mail general pour demander programmation culture/evenements.,a contacter,Email general officiel trouve sur Overheid.nl.
Pays-Bas,Zwolle - Visit Zwolle / Tourist Info,Zwolle,commune / programmation culture,Partenaire ville - tourisme/culture,info@zwolletouristinfo.nl,,https://www.coe.int/en/web/cultural-routes/-/municipality-of-zwolle,world-music,agenda culturel / relais tourisme,C hors cible / faible,"commune/service public pouvant orienter vers programmation, evenement, espace public ou agenda culturel",Demander relais agenda culturel ou evenement public.,a contacter,Contact touristique/culturel cite par Council of Europe.
Pays-Bas,Podium Mozaiek,Amsterdam,1 Salles culturelles,Salle culturelle independante / theatre / cafe-restaurant,info@podiummozaiek.nl,020-5800380,https://www.podiummozaiek.nl/contact,world-music | bresil,salle culturelle world,A prioritaire,Etape 1: enrichissement ciblage Pays-Bas pour Nyllo,Demander programmation musique/world ou location cafe-theatre.,verifie email,"Scene internationale; presente world music, theatre, cabaret, dance. | Enrichi 13/08/2026 : Email et telephone officiels."
Pays-Bas,Muziekgebouw aan het IJ,Amsterdam,1 Salles culturelles,Salle culturelle / concert hall / events,program@muziekgebouw.nl / events@muziekgebouw.nl,+31 20 788 2000,https://www.muziekgebouw.nl/en/corporate-events-ze-fgcq,world-music | percussions,salle culturelle / event venue,B compatible,Etape 1: enrichissement ciblage Pays-Bas pour Nyllo,Demander contact programmation ou events pour format live/percussions.,verifie email,Grande salle modulable avec espaces events. | Enrichi 13/08/2026 : Emails programmation/events officiels.
Pays-Bas,Royal Concertgebouw,Amsterdam,1 Salles culturelles,Salle de concert,contact@concertgebouw.nl,+31 20 573 0573,https://www.concertgebouw.nl/en/organisation,world-music,salle culturelle premium,C hors cible / faible,Etape 1: enrichissement ciblage Pays-Bas pour Nyllo,Approche selective: proposer seulement projet special premium/world.,a contacter,"Grande salle tres prestigieuse, pas prioritaire club."
Pays-Bas,de Doelen,Rotterdam,1 Salles culturelles,Concert hall / congress centre / world-jazz,m.boumans@dedoelen.nl,+31 10 217 1700,https://www.dedoelen.nl/en,world-music | jazz-soul,salle culturelle world-jazz,A prioritaire,Etape 1: enrichissement ciblage Pays-Bas pour Nyllo,Contacter pour programmation world/cultural rental.,verifie email,Directory world music cite venue programming/cultural rental. | Passe 2 13/08/2026 : Contact public deja present ; statut nettoye.
Pays-Bas,WORM Rotterdam,Rotterdam,1 Salles culturelles,Alternative cultural venue / experimental / concerts,info@worm.org,+31 10 476 7832,https://worm.org/about/contact-open-times/,world-music | house-music,salle culturelle alternative,A prioritaire,Etape 1: enrichissement ciblage Pays-Bas pour Nyllo,Envoyer proposition hybride live/electro/world au programmateur pertinent.,a contacter,WORM invite les propositions/collaborations par discipline.
Pays-Bas,Korzo Theater,Den Haag,1 Salles culturelles,Theatre / dance / music / circus,info@korzo.nl,+31 70 363 7540,https://korzo.nl/en/themes/knock-knock-eng/,world-music | percussions,salle culturelle danse-musique,B compatible,Etape 1: enrichissement ciblage Pays-Bas pour Nyllo,Proposer format danse/percussions/world ou collaboration scénique.,a contacter,"Lieu pionnier danse, musique, cirque, theatre."
Pays-Bas,Samba Kitchen Amsterdam,Amsterdam,2 Restaurants musicaux,Restaurant bresilien / live music,hello@samba-kitchen.nl,020 676 0513 / +31 6 45975771,https://www.samba-kitchen.nl/contact,bresil | percussions | world-music,restaurant musical bresil,A prioritaire,Etape 2: enrichissement ciblage Pays-Bas pour Nyllo,Appeler/WhatsApp pour proposer mini live/DJ set bresilien ou after dinner.,verifie email,"Signal public: fresh caipirinhas, live music, ambiance Bresil. | Passe 2 13/08/2026 : Email et telephone officiels Samba Kitchen."
Pays-Bas,BARRACA Rodizio Grill & Bar,Amsterdam,2 Restaurants musicaux,Restaurant bresilien / bar,amsterdam@barraca.nl,020 226 2520,https://barraca.nl/amsterdam/en/,bresil | world-music,restaurant bresilien,B compatible,Etape 2: enrichissement ciblage Pays-Bas pour Nyllo,Demander manager/events pour animation musicale bresilienne.,verifie email,Restaurant bresilien authentique; potentiel event prive. | Enrichi 13/08/2026 : Email officiel restaurant/bar.
Pays-Bas,Brazanova,Groningen,2 Restaurants musicaux,Restaurant bresilien / bossa nova samba sounds,hello@brazanova.com,+31 50 527 7431,https://www.brazanova.com/en,bresil | world-music,restaurant musical bresil,B compatible,Etape 2: enrichissement ciblage Pays-Bas pour Nyllo,Demander manager pour soiree bresilienne ou showcase.,verifie email,Restaurant bresilien avec tropical sounds of Bossa Nova and Samba. | Enrichi 13/08/2026 : Email officiel.
Pays-Bas,Selva Restaurant Amsterdam,Amsterdam,2 Restaurants musicaux,Restaurant Latin America / bar,restaurantselva@nhow-hotels.com / groups.nhowamsterdamrai@nh-hotels.com,020 800 3224,https://www.selva-restaurant.com/en/,bresil | world-music,restaurant latin / hotel style,B compatible,Etape 2: enrichissement ciblage Pays-Bas pour Nyllo,Demander contact events/manager pour ambiance tropical/afro-house chic.,verifie email,Cuisine latino-americaine; bon angle A SELVA/Nyllo. | Enrichi 13/08/2026 : Email restaurant/hotel officiel.
Pays-Bas,Belushi’s Amsterdam,Amsterdam,2 Restaurants musicaux,Bar / live music / events,party@belushis.com / pr@belushis.com,a completer,https://belushis.com/amsterdam-central,house-music | world-music,bar live music / events,B compatible,Etape 2: enrichissement ciblage Pays-Bas pour Nyllo,Proposer after-party international ou DJ/live night.,a contacter,Bar avec live music et contact events public.
Pays-Bas,Amapiano Worldwide Amsterdam / Benaiah & Friends,Amsterdam,3 Promoteurs collectifs,Promoteur / soiree amapiano afrohouse,booking via djbenaiah.com/bookings / +31 6 265 874 80,+31 6 265 874 80,https://site.fourvenues.com/de/bitterzoet/events/amapiano-worldwide-19-06-2026-FTNW,afro-house | house-music,promoteur afro house amapiano,A prioritaire,Etape 3: enrichissement ciblage Pays-Bas pour Nyllo,Contacter via socials/telephone reservation et demander booking/promoter contact.,contact public verifie,"Soiree Amapiano/Afrohouse/Gqom a Bitterzoet. | Passe 2 13/08/2026 : Piste publique booking DJ Benaiah/Benaiah & Friends, pas de mail direct."
Pays-Bas,CEP Agency Amsterdam,Amsterdam,3 Promoteurs collectifs,Promoteur / booking agency afro house afro tech,info@creativeeventsagency.com / info@creativeeventspromoter.club,a completer,https://creativeeventsagency.com/promoters,afro-house | house-music,promoteur/booking afro house,A prioritaire,Etape 3: enrichissement ciblage Pays-Bas pour Nyllo,"Proposer Nyllo pour roster/showcase afro-house, afro-tech, tribal house.",verifie email,"Services DJ/promoter Afro House, Afro Tech, Techno. | Enrichi 13/08/2026 : Emails publics agence/promoter."
Pays-Bas,Amsterdam Club Promoters,Amsterdam,3 Promoteurs collectifs,Promoteur clubs afrobeats,Info@clubnoir-amsterdam.nl,+31 6 16705072,https://www.clubnoir-amsterdam.nl/contact/,afro-house | house-music,promoteur clubs afro,B compatible,Etape 3: enrichissement ciblage Pays-Bas pour Nyllo,DM pour demander contact booking/promoter.,verifie email,Signal public via Club Noir/Afrobeats Netherlands. | Enrichi 13/08/2026 : Pas de mail public direct ; garder social officiel/piste promoter. | Passe meticuleuse 13/08/2026 : Club Noir officiel: email public et telephone Facebook; cible afrobeats/amapiano Amsterdam.
Pays-Bas,Culture.Amsterdam,Amsterdam,3 Promoteurs collectifs,Agenda culturel / listing events,info@culture.amsterdam,a completer,https://culture.amsterdam/contact,world-music | house-music,agenda culturel / relais,B compatible,Etape 3: enrichissement ciblage Pays-Bas pour Nyllo,Envoyer evenement/EPK pour ajout agenda ou orientation lieux.,a contacter,Agenda culturel acceptant suggestions evenements/venues.
Pays-Bas,Music Collective Amsterdam,Amsterdam,3 Promoteurs collectifs,Collectif musique / structure culturelle,info@musiccollectiveamsterdam.com,a completer,https://www.musiccollectiveamsterdam.com/support-us,world-music,collectif musique,C hors cible / faible,Etape 3: enrichissement ciblage Pays-Bas pour Nyllo,Demander reseau/contacts programmation world et collaborations.,a contacter,Contact public ANBI.
Pays-Bas,Zoku Amsterdam,Amsterdam,4 Hotels evenementiels,Hotel rooftop / event space,meetamsterdam@livezoku.com / helloamsterdam@livezoku.com,+31 6 1820 9013 / +31 20 811 2811,https://livezoku.com/contact/,house-music | afro-house,hotel rooftop event,A prioritaire,Etape 4: enrichissement ciblage Pays-Bas pour Nyllo,Demander events team pour rooftop after-party/DJ set.,verifie email,Rooftop prive jusqu a 200 personnes. | Passe 2 13/08/2026 : Contact Meeting & Events officiel Zoku Amsterdam.
Pays-Bas,B. Amsterdam Events,Amsterdam,4 Hotels evenementiels,Event venue / company party,events@b-amsterdam.com,+31 20 261 2519,https://b-events.amsterdam/en/events/bedrijfsfeest/,house-music | world-music,event venue / corporate party,B compatible,Etape 4: enrichissement ciblage Pays-Bas pour Nyllo,Proposer format corporate afro-house/world live.,a contacter,Contact event managers public.
Pays-Bas,NYX Hotel Amsterdam Rembrandt Square,Amsterdam,4 Hotels evenementiels,Hotel / Record Club / intimate events,events.amsterdam@nyx-hotels.nl / info.rembrandtsquare@nyx-hotels.nl,a completer,https://www.nyx-hotels.com/amsterdam/nyx-hotel-amsterdam-rembrandt-square/meeting,house-music,hotel event / listening session,B compatible,Etape 4: enrichissement ciblage Pays-Bas pour Nyllo,Demander contact events pour Record Club/DJ listening session.,verifie email,Record Club pour late-night listening sessions. | Enrichi 13/08/2026 : Email events hotel officiel.
Pays-Bas,nhow Rotterdam / Elvy Gastrobar,Rotterdam,4 Hotels evenementiels,Hotel / gastrobar / DJ nights,rotterdam@nhow-hotels.com,+31 10 206 7600,https://www.nhow-hotels.com/en/nhow-rotterdam/eat-drink,house-music | afro-house,hotel bar DJ nights,A prioritaire,Etape 4: enrichissement ciblage Pays-Bas pour Nyllo,Demander events/Elvy manager pour DJ/live afro-house.,verifie email,DJ nights vendredi/samedi observees. | Enrichi 13/08/2026 : Mail direct non confirme dans cette passe. | Passe 2 13/08/2026 : Email et telephone officiels nhow Rotterdam / Elvy.
Pays-Bas,Hotel New York / NY Basement,Rotterdam,4 Hotels evenementiels,Hotel / party venue / DJ entertainment,info@nybasement.nl / info@hotelnewyork.nl,a completer,https://hotelnewyork.com/party-venue-rotterdam/,house-music | world-music,hotel party venue,B compatible,Etape 4: enrichissement ciblage Pays-Bas pour Nyllo,Proposer after-party privee avec DJ/live.,verifie email,Party venue avec DJ/entertainment mentionne. | Enrichi 13/08/2026 : Emails officiels lieu/hotel.
Pays-Bas,Court Hotel Utrecht / De Rechtbank,Utrecht,4 Hotels evenementiels,Hotel / meetings and events,reserveren@derechtbank.com,+31 30 303 6311,https://www.courthotel.nl/en/meetings-and-events,world-music | house-music,hotel event venue,B compatible,Etape 4: enrichissement ciblage Pays-Bas pour Nyllo,Proposer format reception musicale ou showcase.,a contacter,Contact events direct.
Pays-Bas,voco The Hague,Den Haag,4 Hotels evenementiels,Hotel / meeting event / vault bar garden,sales.vocothehague@ihg.com,+31 70 218 5627,https://thehague.vocohotels.com/meeting-and-event/,world-music | house-music,hotel event venue,B compatible,Etape 4: enrichissement ciblage Pays-Bas pour Nyllo,Proposer cocktail reception/DJ set chic.,a contacter,Event spaces jusqu a 300 personnes.
Pays-Bas,The Hague Marriott Hotel,Den Haag,4 Hotels evenementiels,Hotel / event space / outdoor garden,meetings@thehaguemarriott.com,+31 70 352 5855,https://www.marriott.com/en-us/hotels/rtmmc-the-hague-marriott-hotel/events/,world-music | house-music,hotel event venue,B compatible,Etape 4: enrichissement ciblage Pays-Bas pour Nyllo,Proposer event musical corporate ou reception.,a contacter,"Grand hotel events, jardin conference."
Pays-Bas,Alexander Hotel,Noordwijk,4 Hotels evenementiels,Hotel / events,sales@alexanderhotel.nl,+31 71 361 8900,https://www.alexanderhotel.nl/en/meetings-events/,world-music | house-music,hotel event venue,C hors cible / faible,Etape 4: enrichissement ciblage Pays-Bas pour Nyllo,Garder pour event prive/corporate.,a contacter,Contact event experts direct.
Pays-Bas,Amsterdam Roots - Danka van Dodewaard,Amsterdam,5 Contacts nominatifs,Contact nominatif / artistic director,danka@amsterdamroots.nl / info@amsterdamroots.nl,a completer,https://www.festivalfinder.eu/festivals/amsterdam-roots-festival,world-music | bresil | afro-house,contact nominatif festival world,A prioritaire,Etape 5: enrichissement ciblage Pays-Bas pour Nyllo,Envoyer message personnalise directrice artistique.,a contacter,Danka citee comme artistic director; email corporate public.
Pays-Bas,TROMP - Dorien van den Hurk,Eindhoven,5 Contacts nominatifs,Contact nominatif / business director,dorien@tromppercussion.nl,+31 40 265 5666,https://www.tromppercussion.nl/team,percussions | world-music,contact nominatif percussions,A prioritaire,Etape 5: enrichissement ciblage Pays-Bas pour Nyllo,Envoyer proposition percussions/collaboration Nyllo.,a contacter,Business director publique.
Pays-Bas,TROMP - Dominique Vleeshouwers,Eindhoven,5 Contacts nominatifs,Contact nominatif / artistic director,dominique@tromppercussion.nl,a completer,https://www.tromppercussion.nl/team,percussions | world-music,contact nominatif artistique,A prioritaire,Etape 5: enrichissement ciblage Pays-Bas pour Nyllo,Envoyer EPK/proposition artistique percussions.,a contacter,Artistic director public.
Pays-Bas,TROMP - Lian van Erp,Eindhoven,5 Contacts nominatifs,Contact nominatif / production manager,lian@tromppercussion.nl,a completer,https://www.tromppercussion.nl/team,percussions,contact production,B compatible,Etape 5: enrichissement ciblage Pays-Bas pour Nyllo,Contact production apres interet artistique.,a contacter,Production manager public.
Pays-Bas,Kunstmuseum Den Haag - event managers,Den Haag,5 Contacts nominatifs,Contacts nominatifs events,zakendoen@kunstmuseum.nl,+31 70 338 1173,https://www.kunstmuseum.nl/nl/node/26747,world-music | house-music,contact nominatif events,B compatible,Etape 5: enrichissement ciblage Pays-Bas pour Nyllo,"Demander Danny Voshart, Merel Beemster ou Nathan Westland pour event prive.",a contacter,Event managers cites publiquement.
