Pays,Region,Departement,Ville,Nom,Type_fichier,Categorie,Contact_public,Telephone,Site,Source_URL,Styles_Nyllo,Segment_booking,Priorite,Statut,Action_recommandee,Notes,Fichier_source
France,Hauts-de-France,Pas-de-Calais,Lens-Liévin,Direction Culture Tourisme Patrimoine et Sport,commune / programmation culture,Action culturelle / résidences / territoire,ldeleplanque@agglo-lenslievin.fr,03 91 84 22 94,https://www.agglo-lenslievin.fr/,https://www.culture.gouv.fr/regions/drac-hauts-de-france/cinq-residences-mission-artistes-lens-lievin-62,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier et disponibilite.,Contact officiel cité par la DRAC pour action culturelle,Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Slalom Lille,club / concert / discotheque,"club, concerts, DJ, house, techno, nuit 00h-06h",hello@slalomlille.com,,https://slalomlille.com/,https://slalomlille.com/,house-music,DJ set / house music / club,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,Club prioritaire pour Nyllo DJ/live hybrid.,ajout cible house/DJ officiel
France,Hauts-de-France,Nord,Lille,La Releve Lille,club / discotheque,"club nuit, techno/DnB, DJ",corentin@lareleve.club,,https://www.facebook.com/larelevelille/,https://www.facebook.com/larelevelille/,house-music,DJ set / house music / club,B,email secondaire,Contacter selon calendrier et disponibilite.,Email public Facebook; verifier booking direct.,ajout cible house/DJ officiel
France,Hauts-de-France,Nord,Lille,Magazine Club Lille,club / electronic venue,"club, techno, house, electronic",contact via site / reservation table,,https://www.magazineclub.fr/,https://www.magazineclub.fr/,house-music,DJ set / house music / club,B,contact via site,Contacter selon calendrier et disponibilite.,Ancien lieu/programmation electronic; verifier activite avec Slalom meme adresse.,ajout cible house/DJ officiel
France,Hauts-de-France,Nord,Lille,MALOOT HiFi Bar,bar cocktails / vinyl DJ sets,"HiFi bar, cocktails, vinyl DJ sets",contact@maloothifibar.com,,https://www.maloothifibar.com/,https://www.maloothifibar.com/,world-music | house-music,DJ/live afro-world-house,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,Tres bon pour set chic vinyl/world-house.,ajout cible house/DJ officiel
France,Hauts-de-France,Nord,Lille,Cafe Oz Lille,bar / DJ sets / after-party,"bar anime, DJ sets, soirees et live sports",lille@cafe-oz.com,+33 3 59 05 34 06,https://cafe-oz.com/en/etablissement/cafe-oz-lille-en/,https://www.instagram.com/cafeozlille/,house-music,DJ set / house music / club,B,verifie email,Contacter selon calendrier et disponibilite.,"Bar et DJ sets, cible after-party.",ajout cible house/DJ officiel
France,Hauts-de-France,Nord,Lille,Grand Hotel Bellevue - rooftop bar,hotel bar / rooftop,"rooftop terrasse, bar hotel, groupes",contact@grandhotelbellevue.com,+33 3 20 57 45 64,https://www.grandhotelbellevue.com/en/page/lille-centre-bar.24341.html,https://www.grandhotelbellevue.com/en/page/lille-centre-bar.24341.html,house-music,DJ set / house music / club,B,verifie email,Contacter selon calendrier et disponibilite.,Rooftop/bar hotel utile event chic.,ajout cible house/DJ officiel
France,Hauts-de-France,Nord,Lille,Hyde Bar Lille,bar / DJ open platines,"Afro/Deep House to hard/uptempo, DJ sets",contact via Facebook / Shotgun,+33 6 37 19 98 24,https://shotgun.live/en/events/dj-set-open-platine-afro-deep-house-to-hard-to-uptempo,https://www.facebook.com/61565022066894/?locale=en_GB,bresil | world-music | house-music,DJ/live afro-world-house,A,telephone verifie,Contacter en premier avec positionnement DJ/live afro house - world house.,Signal direct Afro/Deep House; contact organisateur a completer.,ajout cible house/DJ officiel
France,Hauts-de-France,Nord,Lille,Bistrot de St So,bar / friche culturelle / DJ,"afro house, latino house, DJ sets, events",contact.lestso@gmail.com,,https://garesaintsauveur.lille3000.com/le-bistrot-de-st-so,https://garesaintsauveur.lille3000.com/le-bistrot-de-st-so,bresil | world-music | afro-house | house-music,DJ/live afro-world-house,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,Historique event afro-house DJ Satelite; verifier contact programmation.,ajout cible house/DJ officiel
France,Hauts-de-France,Nord,Douai,Festival Plein Air,festival electro / house,"electronic, techno, trance, house, outdoor nocturnal",contact@festivalpleinair.fr,+33 3 27 88 26 79,https://www.festivalpleinair.fr/,https://www.facebook.com/pleinair.fest/,house-music,DJ set / house music / club,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,Festival electro/house prioritaire Nyllo.,ajout cible house/DJ officiel
France,Hauts-de-France,Pas-de-Calais,Le Touquet-Paris-Plage,Touquet Music Beach Festival,festival electronic beach,"electronic music, sunset, dancefloor",billetterie@touquetmusicbeach.com,,https://www.touquetmusicbeach.com/fr/contact,https://www.touquetmusicbeach.com/fr/contact,house-music,DJ set / house music / club,A,email secondaire,Contacter en premier avec positionnement DJ/live afro house - world house.,Email billetterie officiel; booking/prog a completer.,ajout cible house/DJ officiel
France,Hauts-de-France,Pas-de-Calais,Arras,Main Square Festival,festival pop/electro,"pop, electronic, DJ headliners, large festival",contact@mainsquarefestival.fr,+33 3 28 53 58 63,https://mainsquarefestival.fr/en/contact/,https://mainsquarefestival.fr/en/privacy-policy/,house-music,DJ set / house music / club,B,verifie email,Contacter selon calendrier et disponibilite.,"Grand festival; email privacy/general, programmation directe a verifier.",ajout cible house/DJ officiel
France,Hauts-de-France,Nord,Roubaix,La Condition Publique,salle culturelle / friche / club events,"friche culturelle, concerts, DJ, pluridisciplinaire",contact@laconditionpublique.com,+33 3 28 33 48 33 / +33 3 28 33 57 57,https://laconditionpublique.com/contact,https://www.facebook.com/LaConditionPublique/,world-music | house-music,DJ/live afro-world-house,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,Très pertinent world/urbain/electro.,ajout cible house/DJ officiel
France,Hauts-de-France,Nord,Lille,Flow Lille,centre cultures urbaines,"cultures urbaines, danse, musique amplifiee, programmation",flow@mairie-lille.fr,+33 3 62 14 59 52,https://flow.lille.fr/nous-contacter,https://flow.lille.fr/nous-contacter,world-music,world music / live hybrid,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,Page officielle indique proposer une programmation par email.,ajout cible house/DJ officiel
France,Hauts-de-France,Nord,Lille,L Aeronef,SMAC / salle concerts / club,"concerts, club, musiques actuelles",contact@aeronef.fr,+33 3 20 13 50 00,https://aeronef.fr/infos-pratiques/contact,https://aeronef.fr/infos-pratiques/contact,house-music,DJ set / house music / club,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,SMAC Lille prioritaire.,ajout cible house/DJ officiel
